ID,Nama_Laptop,Harga_Rp,CPU,RAM_GB,SSD_GB,Baterai_Jam,Skor_CPU,Skor_RAM,Skor_SSD,Skor_Baterai,Skor_Utilitas
1,Acer Aspire 7 PRO A715-59G-516G,13499000,"13th Generation Intel Core i5-13420H Processor (12M Cache, up to 4.60 GHz)",16,512,6.5,80,90,80,80,83.0
2,Acer Aspire 7 PRO A715-59G-516S,13499000,"13th Generation Intel Core i5-13420H Up To 4,6Ghz 8 Core 12 Threads",16,512,6.5,80,90,80,80,83.0
3,Acer Aspire 7 Pro A715-59G-77WV,15499000,"13th Generation Intel Core i7-13620H Up to 4,9Ghz 10 Core 16 Threads",16,512,6.5,100,90,80,80,91.0
4,Acer Aspire Go 14 AI AG14 71M 5471,11999000,"Intel Core Ultra 5 processor 125H with AI Boost (14 Cores (4P+8E+2LP eCores), up to 4.5 GHz)",16,512,7.0,80,90,80,80,83.0
5,Acer Aspire Go 14 AI AG14-71M-7705,13499000,"Intel Core Ultra 7 processor 155H with AI Boost (16 Cores (6P+8E+2LP eCores), up to 4.8 GHz)",16,512,7.0,100,90,80,80,91.0
6,Acer Aspire Go AG14 72P 50C7,10299000,"Intel® Core™ 5 processor 120U (10 Cores, up to 5.0 GHz)",32,512,7.5,60,100,80,80,78.0
7,Acer Aspire GO AG14-72P,10199000,Intel Core 5 120U Up To 5 Ghz 10 Core 12 Threads,8,1000,7.5,80,70,100,80,81.0
8,Acer Aspire Go Spin AGSP14-31PT-386W Touch 2in1 – Pure Silver,9499000,Intel Core 3 N355 ( 3.9 GHz Frekuensi Turbo – 8 Core 8 Threads ),8,512,7.0,60,70,80,80,69.0
9,Acer Aspire Lite 14 AL14 32P,6999000,"Intel N150 Speed (turbo) 3.60 GHz,Cache 6 MB. Core Quad-core (4 Core)",8,256,7.0,60,70,60,80,65.0
10,Acer Aspire Lite 15 AI AL15 61P R3QE,10499000,"AMD Ryzen™ 5 8640HS (6C / 12T, 3.5 / 4.9GHz, 6MB L2 / 16MB L3)",8,512,6.5,60,70,80,80,69.0
11,Acer Aspire Lite 15 AI AL15 61P R572,12499000,"AMD Ryzen 7 8840HS (8 Cores, up to 5.1 GHz)",16,512,6.5,100,90,80,80,91.0
12,Acer Aspire Lite 15 AL15 42P R50P,8999000,"AMD Ryzen™ 5 7430U Processor 2.3GHz (19MB Cache, up to 4.3GHz, 6 cores, 12 Threads)",8,512,9.5,60,70,80,100,71.0
13,Acer Aspire Lite AL14 32P,7499000,"Intel N150 Up To 3,6Ghz 4 Core 4 Threads",8,512,7.5,60,70,80,80,69.0
14,Acer Aspire Lite AL14 37P,8199000,"Intel Core 3 processor N355 Up to 3,9Ghz 8 Core 8 Threads",8,512,7.5,60,70,80,80,69.0
15,Acer Aspire Lite AL14 37P,7299000,"Intel N150 Processor (4 Cores, 3.6 GHz)",8,512,7.0,60,70,80,80,69.0
16,Acer Aspire Lite AL14 53M 36GD,8499000,"Intel Core i3 1315U Processor 6 Cores, 4.5 GHz",8,512,9.5,60,70,80,100,71.0
17,Acer Aspire Lite AL14-37P-32RZ,8199000,"Intel® Core™ 3 N355 Processor (8 Cores, 3.9 GHz)",8,512,7.5,60,70,80,80,69.0
18,Acer Gaming Nitro V 15 ANV15-52-7783,18999000,"13th Gen Intel Core I7 13620H Processor 3.40 GHz [12 MB Cache, Up To 4.60 GHz, Octa Core (4P + 4E) 12 Threads]",16,512,6.5,100,90,80,80,91.0
19,Acer Helios Neo S PHN16S-71-78UQ,27999000,"Intel® Core™ Ultra 7 processor 255HX (30 MB Cache, up to 5.2 GHz)",16,1000,5.0,100,90,100,60,93.0
20,Acer Mate 14 AM1,8999000,"Intel® Core™ i5 1235U processor 1.3 GHz (12M Cache, up to 4.4 GHz, 10 cores)",8,512,7.0,80,70,80,80,77.0
21,Acer Nitro 16S AI ANV16S 71 70XH,22999000,"Intel Core 7 240H Up To 5,2Ghz 10 Core 16 Threads",16,512,8.5,100,90,80,100,93.0
22,Acer Nitro Lite 16 NL16-71G-506C,14499000,"Intel Core 5 210H Up to 4,8 Ghz 8 Core 12 Threads",8,512,6.5,80,70,80,80,77.0
23,Acer Nitro Lite NL16 71G 75QK,15999000,"Intel® Core™ 7 processor 240H (10 Cores, 5.2 GHz)",16,512,6.5,60,90,80,80,75.0
24,Acer Nitro Lite NL16 71G 78GF,17999000,Intel Core 7 240H 2.50GHz Octa-core (10 Core),16,512,6.5,100,90,80,80,91.0
25,Acer Nitro Lite NL16-71G-5613,14999000,"Intel Core 5 210H Up to 4,8 Ghz 8 Core 12 Threads",8,512,6.5,80,70,80,80,77.0
26,Acer Nitro V 15 ANV15 42 R60U,16499000,"AMD Ryzen™ 7 7445HS Processor 3.2GHz (22MB Cache, up to 4.7GHz, 6 cores, 12 Threads)",16,512,6.5,60,90,80,80,75.0
27,Acer Predator Helios Neo 16S PHN16S-71-90GL,29999000,"Intel Core Ultra 9 processor 275HX (36MB cache, up to 5.40Ghz)",8,1000,5.0,100,70,100,60,87.0
28,Acer Predator Triton 14 AI PT14 52T 9162,40999000,"Intel Core Ultra 9 processor 288V (12 MB Smart Cache, 3.3 GHz, up to 5.1 GHz, Intel AI Boost capable up to 48 TOPS, supporting hybrid core architecture",32,1000,5.0,100,100,100,60,96.0
29,Acer Swift GO 14 OLED SFG14-73-9686 – Frost Blue,17999000,Intel® Core™ Ultra 9 processor 185H with AI Boost (Intel Evo),32,1000,7.0,100,100,100,80,98.0
30,Acer Swift GO SFG14 75 5664,15499000,"Intel® Core™ Ultra 5 processor 226V 8 Cores, up to 4,50 GHz Total TOPs 97 (CPU, GPU, NPU Only 40 TOPs)",16,1000,16.0,80,90,100,100,89.0
31,Acer Travelmate P6 14 AI TMP614 54T,33999000,Intel Core™ Ultra 7 268V (Intel EVO) Up To 5Ghz 8 Cores 8 Threads,32,1000,9.5,100,100,100,100,100.0
32,Acer TravelMate X 14 TMX14-51,10499000,Intel Core 5 120U Up To 5 Ghz 10 Core 12 Threads,16,512,7.0,80,90,80,80,83.0
33,Acer TravelMate X 14 TMX14-51,11999000,"Intel Core 7 150U Up To 5,4 Ghz 10 Core 12 Threads",16,512,7.0,100,90,80,80,91.0
34,Advan 360 GO,5999000,AMD Ryzen 3 3200U 2.6 GHz (Dasar) hingga 3.5 GHz (Turbo),8,256,7.5,60,70,60,80,65.0
35,Advan AI Gen,9499000,"Intel® Core Ultra 5 125H Up To 4,9Ghz 14 Cores 18 Threads",16,512,9.5,80,90,80,100,85.0
36,Advan AI-Gen,9299000,"Intel Core™ Ultra 5 115U Up To 4,2Ghz 8 Cores 10 Threads",16,256,5.5,80,90,60,60,77.0
37,Advan Evo-X 13 2in1,5999000,"Intel Pentium Gold 6500Y 2Core,4Thread Up to 3.4Ghz",12,256,7.0,60,80,60,80,68.0
38,Advan Pixwar,8999000,"AMD Octa Core Ryzen 7 6800H Up To 4,7Ghz 8 Core 16 Threads",16,512,6.5,100,90,80,80,91.0
39,Advan Pixwar,9999000,"AMD Octa Core Ryzen 7 8745HS Up To 4,9Ghz 8 Core 16 Threads",16,512,6.5,100,90,80,80,91.0
40,Advan Soulmate Plus – Grey,5299000,"AMD Quad Core Ryzen 5 3500U Up To 3,8Ghz 4 Core 8 Threads",8,256,7.0,80,70,60,80,73.0
41,Advan Soulmate X,3799000,"AMD Athlon 3020e Up To 2,6Ghz 2 Core 2 Threads",4,128,7.0,60,40,40,80,52.0
42,Advan Soulmate X2,4299000,"AMD Athlon 3020e Up To 2,6Ghz 2 Core 2 Threads",8,128,7.0,60,70,40,80,61.0
43,Advan T-Book,4599000,Intel® Core™ N Series N100,4,128,5.5,60,40,40,60,50.0
44,Advan TBook,4599000,Intel® Core™ N Series N100,8,128,5.5,60,70,40,60,59.0
45,Advan TBook X Transformer – Grey,3999000,Intel® Core™ N Series N100,4,128,5.5,60,40,40,60,50.0
46,Advan WorkMate,8199000,"Intel Core™ Ultra 5 115U Up To 4,2Ghz 8 Cores 10 Threads",8,256,7.0,80,70,60,80,73.0
47,Advan Workmate,5899000,"AMD Quad Core Ryzen 5 3500U Up To 3,8Ghz 4 Core 8 Threads",8,256,7.0,80,70,60,80,73.0
48,Advan WorkPlus,8499000,"Intel Core i5-12600H Up To 4,5Ghz 12 Core 16 Threads",24,512,9.5,80,95,80,100,86.5
49,Advan Workplus AI,9599000,"AMD Octa Core Ryzen 7 255 Up To 4,9ghz Ghz 8 Core 16 Threads (50 AI TOPS)",8,512,9.5,100,70,80,100,87.0
50,Advan WorkPlus Heritage,7499000,AMD Ryzen 5 7535HS Speed Up to 4.55Ghz 6Core 12Threads,8,512,6.5,80,70,80,80,77.0
